ID,Title,Category,Score,Grade,IndexProb,TitleScore,IntroScore,StructScore,OrigScore,MediaScore,LinkScore,BodyLen
e2e-1781026548245-5,"هاتف Pixel 11 من غوغل يأتي بشريحة Tensor G6 المخصصة للذكاء ا",هواتف ذكية,77,B,0.8,15,18,8,17,9,10,532
e2e-1781026547183-4,"ثغرة أمنية في معالجات AMD تهدد ملايين الحواسيب الشخصية",أمن سيبراني,72,C,0.55,15,16,8,14,9,10,499
e2e-1781026545499-3,"تسلا تطلق Cybertruck بتحديثات جديدة وتحسينات في المدى والسلا",شركات,74,C,0.55,15,16,8,16,9,10,521
e2e-1781026544208-2,"أمازون تطلق مساعد AI جديد للمتسوقين مع توصيات مخصصة",شركات,74,C,0.55,15,16,8,16,9,10,526
e2e-1781026542016-1,"ميتا تطلق Llama 4 مفتوح المصدر بقدرات تنافس GPT وClaude",الذكاء الاصطناعي,74,C,0.55,15,16,8,16,9,10,524
pipeline-1781025991965-1-Ope,"OpenAI تطلق GPT-5 مع قدرات استدلال متقدمة تفوق التوقعات",الذكاء الاصطناعي,74,C,0.55,15,16,8,16,9,10,575
pipeline-1781025993047-2-غوغ,"غوغل DeepMind تكشف عن نموذج Gemini 3 مع تفوق في الرياضيات وا",الذكاء الاصطناعي,76,B,0.8,15,18,8,16,9,10,560
pipeline-1781025993891-3-ماي,"مايكروسوفت تطلق Copilot 360 مع تكامل عميق في جميع تطبيقات أو",شركات,77,B,0.8,15,18,8,17,9,10,574
pipeline-1781025994812-4-إنف,"إنفيديا تعلن عن شريحة Rubin Ultra بقدرات حوسبة غير مسبوقة لل",شركات,75,B,0.8,15,16,8,17,9,10,550
pipeline-1781025995669-5-آبل,"آبل تطلق Vision Pro 2 بشاشة 8K ووزن أخف بنسبة 40%",شركات,74,C,0.55,15,16,8,16,9,10,594
pipeline-1781025996465-6-هجو,"هجوم إلكتروني يستهدف البنية التحتية الحيوية في أوروبا ويشل 3",أمن سيبراني,74,C,0.55,13,18,8,16,9,10,581
